id,project_type,location,funding_amount_cr,prior_experience_years,estimated_duration_months,actual_duration_months,cost_overrun_pct,delay,approval_outcome,issues_found,quality_score,quality_category
1,Health,Mizoram,19.16,5,31.1,31.4,5.0,False,Approved,Timeline Unrealistic; Technical Flaw,8.43,Good
2,Power,Tripura,99.23,0,18.8,24.8,32.4,True,Approved,Budget Miscalculation; Environmental Non-Compliance; Timeline Unrealistic,5.04,Needs Revision
3,Health,Sikkim,98.34,0,8.0,14.2,12.79,True,Revised,Timeline Unrealistic,5.08,Needs Revision
4,Health,Sikkim,61.39,2,44.2,44.4,0.0,False,Approved,Timeline Unrealistic,10.0,Good
5,Power,Arunachal Pradesh,89.59,10,36.5,41.3,28.52,False,Revised,None,7.97,Good
6,Health,Meghalaya,28.32,5,39.7,43.1,0.0,False,Approved,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,8.38,Good
7,Road,Manipur,8.33,1,10.9,11.5,46.75,True,Approved,Technical Flaw; Environmental Non-Compliance; Timeline Unrealistic,7.87,Good
8,Road,Manipur,12.84,10,41.7,48.3,11.8,True,Rejected,Technical Flaw,4.25,Poor
9,Health,Mizoram,51.35,10,11.9,18.8,26.99,True,Approved,Budget Miscalculation; Timeline Unrealistic,9.11,Good
10,Health,Meghalaya,22.63,3,43.5,43.7,40.37,False,Approved,None,9.02,Good
11,Tourism,Assam,49.0,0,11.0,14.9,70.72,True,Rejected,None,10.0,Good
12,Power,Manipur,30.79,0,47.9,48.8,0.0,False,Approved,Environmental Non-Compliance; Timeline Unrealistic; Technical Flaw,8.24,Good
13,Power,Tripura,55.74,3,9.4,10.7,12.11,False,Revised,Budget Miscalculation,9.07,Good
14,Tourism,Nagaland,69.89,2,30.8,30.4,0.83,False,Approved,Timeline Unrealistic; Environmental Non-Compliance; Technical Flaw,6.67,Needs Revision
15,Road,Manipur,34.77,0,14.8,17.0,52.18,True,Revised,Timeline Unrealistic; Environmental Non-Compliance; Budget Miscalculation,10.0,Good
16,Education,Mizoram,88.38,0,17.7,18.5,63.5,False,Revised,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,9.15,Good
17,Tourism,Tripura,11.05,2,46.9,57.7,0.0,True,Approved,None,5.48,Needs Revision
18,Health,Tripura,65.31,2,33.6,40.2,4.68,True,Approved,Technical Flaw,9.68,Good
19,Power,Mizoram,50.76,3,34.1,36.1,11.51,False,Rejected,Timeline Unrealistic; Technical Flaw; Environmental Non-Compliance,5.93,Needs Revision
20,Health,Assam,95.35,5,24.0,24.0,48.18,False,Approved,Technical Flaw; Environmental Non-Compliance,6.71,Needs Revision
21,Power,Manipur,57.44,1,31.8,42.3,10.51,True,Rejected,None,6.44,Needs Revision
22,Power,Manipur,26.36,5,9.4,8.8,0.0,False,Approved,Budget Miscalculation,9.45,Good
23,Power,Arunachal Pradesh,44.41,10,19.8,23.7,0.0,False,Revised,None,6.04,Needs Revision
24,Education,Assam,82.96,3,15.1,19.8,4.27,True,Approved,Timeline Unrealistic; Environmental Non-Compliance,7.51,Good
25,Road,Tripura,27.81,3,37.2,43.3,0.0,True,Approved,Timeline Unrealistic; Environmental Non-Compliance; Technical Flaw,9.63,Good
26,Road,Tripura,93.53,0,46.1,47.0,41.58,False,Approved,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,4.55,Poor
27,Education,Sikkim,5.03,10,47.1,59.9,0.0,True,Revised,Technical Flaw; Timeline Unrealistic; Environmental Non-Compliance,7.92,Good
28,Education,Meghalaya,5.49,1,32.3,31.4,64.24,False,Approved,Timeline Unrealistic; Technical Flaw,7.54,Good
29,Health,Arunachal Pradesh,57.76,0,25.2,35.0,70.61,True,Revised,Timeline Unrealistic; Environmental Non-Compliance; Technical Flaw,4.89,Poor
30,Tourism,Arunachal Pradesh,68.62,0,33.5,40.1,51.12,True,Approved,Timeline Unrealistic,9.96,Good
31,Road,Mizoram,96.79,3,13.5,14.3,40.34,False,Approved,Budget Miscalculation; Environmental Non-Compliance,7.86,Good
32,Education,Sikkim,75.7,0,21.9,26.3,37.24,True,Approved,Environmental Non-Compliance; Timeline Unrealistic; Budget Miscalculation,9.46,Good
33,Health,Nagaland,68.0,3,30.1,36.4,22.42,True,Approved,Technical Flaw; Environmental Non-Compliance; Timeline Unrealistic,9.08,Good
34,Power,Arunachal Pradesh,6.7,1,24.5,28.5,26.32,True,Rejected,Timeline Unrealistic; Environmental Non-Compliance; Technical Flaw,4.54,Poor
35,Power,Assam,82.36,1,12.2,18.6,17.49,True,Revised,None,7.96,Good
36,Health,Sikkim,48.69,3,29.5,36.8,45.32,True,Approved,Budget Miscalculation; Timeline Unrealistic; Technical Flaw,4.96,Poor
37,Road,Sikkim,74.86,5,16.0,20.9,23.89,True,Approved,Timeline Unrealistic,7.71,Good
38,Education,Manipur,91.99,3,29.3,32.1,26.15,False,Approved,None,9.87,Good
39,Health,Arunachal Pradesh,95.09,10,25.1,31.4,13.87,True,Approved,Environmental Non-Compliance,6.04,Needs Revision
40,Road,Assam,31.64,3,31.3,36.1,0.0,True,Revised,Environmental Non-Compliance; Timeline Unrealistic,9.67,Good
41,Power,Manipur,5.48,0,38.7,49.6,73.9,True,Approved,Environmental Non-Compliance; Technical Flaw,4.41,Poor
42,Road,Mizoram,6.58,10,35.1,37.1,37.5,False,Rejected,Technical Flaw,5.48,Needs Revision
43,Road,Manipur,28.2,3,15.6,17.5,30.91,True,Approved,Timeline Unrealistic,7.26,Good
44,Health,Mizoram,9.75,2,22.9,30.8,0.0,True,Approved,Environmental Non-Compliance,4.87,Poor
45,Power,Arunachal Pradesh,64.03,2,9.8,14.2,27.37,False,Approved,Environmental Non-Compliance,9.1,Good
46,Road,Arunachal Pradesh,77.12,3,25.3,32.8,24.63,True,Approved,Environmental Non-Compliance; Technical Flaw,5.15,Needs Revision
47,Health,Tripura,69.95,0,43.7,51.7,50.07,True,Approved,None,4.54,Poor
48,Education,Assam,36.24,10,21.3,29.2,34.52,True,Approved,Timeline Unrealistic; Budget Miscalculation,9.71,Good
49,Power,Meghalaya,80.81,0,31.1,30.7,40.24,False,Rejected,Timeline Unrealistic,4.78,Poor
50,Tourism,Sikkim,69.03,10,37.5,38.0,0.0,False,Approved,Environmental Non-Compliance; Technical Flaw; Timeline Unrealistic,5.44,Needs Revision
51,Road,Sikkim,9.83,10,11.0,14.6,29.68,False,Approved,Budget Miscalculation; Environmental Non-Compliance,7.57,Good
52,Road,Meghalaya,13.63,0,20.2,25.7,45.57,True,Approved,None,5.42,Needs Revision
53,Health,Nagaland,19.47,10,39.8,38.2,0.0,False,Approved,None,6.48,Needs Revision
54,Health,Sikkim,81.89,0,26.6,28.4,61.56,False,Approved,None,10.0,Good
55,Health,Assam,73.89,3,10.8,9.9,14.43,False,Approved,Technical Flaw; Environmental Non-Compliance,6.39,Needs Revision
56,Power,Meghalaya,20.97,1,9.7,10.4,0.0,True,Approved,Budget Miscalculation,4.75,Poor
57,Health,Meghalaya,41.44,5,36.7,47.2,9.06,True,Approved,Environmental Non-Compliance; Technical Flaw; Timeline Unrealistic,8.71,Good
58,Tourism,Mizoram,19.45,2,33.9,34.7,17.94,False,Revised,Budget Miscalculation; Timeline Unrealistic,6.87,Needs Revision
59,Road,Assam,36.18,1,28.8,39.2,46.82,True,Approved,Technical Flaw; Budget Miscalculation; Timeline Unrealistic,7.9,Good
60,Tourism,Meghalaya,99.77,0,19.1,17.3,0.0,False,Approved,Technical Flaw,6.55,Needs Revision
61,Health,Mizoram,13.62,5,28.7,26.8,20.45,False,Approved,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,7.66,Good
62,Power,Tripura,58.76,1,45.8,56.5,0.0,True,Approved,Budget Miscalculation; Environmental Non-Compliance,4.91,Poor
63,Education,Tripura,3.28,1,38.4,44.8,5.17,True,Revised,Technical Flaw; Environmental Non-Compliance,5.43,Needs Revision
64,Health,Nagaland,83.91,0,42.5,49.4,44.35,True,Approved,Timeline Unrealistic; Environmental Non-Compliance; Technical Flaw,6.42,Needs Revision
65,Road,Arunachal Pradesh,92.07,1,25.6,28.9,68.88,True,Revised,Environmental Non-Compliance,5.45,Needs Revision
66,Road,Assam,78.27,2,32.6,31.8,0.0,False,Revised,None,4.9,Poor
67,Road,Sikkim,59.94,5,22.7,28.5,39.99,True,Approved,None,6.06,Needs Revision
68,Power,Arunachal Pradesh,53.91,0,22.8,31.4,11.64,True,Revised,Timeline Unrealistic; Budget Miscalculation; Technical Flaw,8.13,Good
69,Health,Tripura,71.88,5,23.1,29.3,12.69,True,Approved,None,9.68,Good
70,Power,Manipur,25.07,10,31.3,30.3,48.13,False,Approved,Timeline Unrealistic; Budget Miscalculation,7.92,Good
71,Education,Manipur,13.15,2,30.5,30.9,44.63,False,Approved,Environmental Non-Compliance,5.67,Needs Revision
72,Road,Arunachal Pradesh,86.25,2,45.8,47.2,7.01,False,Revised,Timeline Unrealistic; Environmental Non-Compliance; Budget Miscalculation,4.57,Poor
73,Power,Mizoram,40.85,0,11.9,13.4,73.83,True,Approved,Budget Miscalculation; Timeline Unrealistic,4.91,Poor
74,Power,Assam,41.12,10,40.8,48.0,0.0,True,Revised,Budget Miscalculation,8.0,Good
75,Power,Mizoram,83.97,5,22.1,29.7,2.35,True,Approved,Technical Flaw; Budget Miscalculation; Environmental Non-Compliance,6.76,Needs Revision
76,Health,Assam,72.43,2,45.9,56.4,47.7,True,Approved,Environmental Non-Compliance; Budget Miscalculation,9.41,Good
77,Tourism,Mizoram,16.31,0,38.4,49.2,0.0,True,Approved,Timeline Unrealistic; Budget Miscalculation,5.56,Needs Revision
78,Education,Meghalaya,69.77,10,6.2,11.1,0.0,True,Revised,None,7.48,Good
79,Tourism,Tripura,64.26,0,33.7,41.8,63.69,True,Approved,Timeline Unrealistic,4.56,Poor
80,Road,Sikkim,56.02,10,44.5,44.5,0.0,False,Revised,Environmental Non-Compliance,7.13,Good
81,Tourism,Arunachal Pradesh,52.72,0,33.3,44.2,42.05,True,Approved,Budget Miscalculation,7.7,Good
82,Health,Mizoram,66.5,5,32.3,36.9,30.79,True,Revised,Environmental Non-Compliance,7.51,Good
83,Tourism,Manipur,99.8,3,8.2,11.2,0.0,True,Approved,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,5.05,Needs Revision
84,Health,Mizoram,73.49,0,10.6,12.4,21.54,True,Approved,None,6.93,Needs Revision
85,Health,Meghalaya,95.69,5,39.0,43.2,0.0,False,Revised,Timeline Unrealistic; Technical Flaw,5.48,Needs Revision
86,Tourism,Tripura,94.33,10,31.5,37.4,11.53,True,Approved,Timeline Unrealistic; Budget Miscalculation,4.82,Poor
87,Road,Assam,92.85,1,28.1,35.1,0.0,True,Revised,Budget Miscalculation; Environmental Non-Compliance,8.2,Good
88,Road,Assam,89.6,5,9.8,16.0,13.28,True,Revised,Technical Flaw; Timeline Unrealistic; Budget Miscalculation,8.38,Good
89,Tourism,Arunachal Pradesh,41.44,10,16.9,19.8,24.79,True,Approved,None,7.18,Good
90,Education,Manipur,82.64,1,28.8,38.7,55.04,True,Approved,Environmental Non-Compliance; Technical Flaw,9.44,Good
91,Power,Meghalaya,62.24,10,13.9,18.1,48.07,False,Approved,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,9.76,Good
92,Power,Nagaland,75.91,3,6.3,11.1,0.0,False,Approved,Technical Flaw; Timeline Unrealistic,5.15,Needs Revision
93,Power,Assam,96.34,3,32.6,35.4,5.13,False,Approved,Timeline Unrealistic; Environmental Non-Compliance,4.89,Poor
94,Road,Nagaland,62.47,2,41.8,44.3,33.8,False,Approved,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,9.24,Good
95,Tourism,Manipur,68.65,1,12.7,19.2,70.82,True,Approved,None,9.38,Good
96,Health,Nagaland,14.0,2,45.9,50.5,0.0,False,Approved,Timeline Unrealistic; Budget Miscalculation,5.72,Needs Revision
